OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
191,42.824,7.219,0.00552,1.47272,306.0546,0.15312,0.16842602,191,31,30,0.12,0.31,0.48,1,0.46,1.37,1.6,0.93,0.09,17.3,72.4,10.2,7.9,26.25,10.7,1.9,57,11.04,17.3,72.4,10.2,0.93,1.37,7.9,105,0,30,31.21571131,11.63075243
192,44.042,8.221,0.00569,1.4449,215.0322,0.04449,0.148390537,192,31,60,0.14,0.33,0.49,1,0.36,1.37,0.96,0.56,0.06,23.5,67.3,9.2,8,28.25,10.7,1.9,57,8.64,23.5,67.3,9.2,0.56,1.37,8,45,30,60,32.60920307,13.17240847
193,43.603,7.681,0.00743,1.40126,251.5362,-0.14212,0.144351099,193,31,90,0.12,0.31,0.49,1,0.52,1.35,0.88,0.51,0.05,23.7,67,9.3,8.3,26.25,8.3,1.4,57,12.48,23.7,67,9.3,0.51,1.35,8.3,75,60,90,31.01150285,13.09827556
194,42.05,6.404,0.00777,1.4218,400.9383,-0.06238,0.23866496,194,31,150,0.08,0.28,0.49,0.5,0.87,1.34,0.58,0.34,0.03,16.2,73.5,10.3,9,23,3.3,0.6,120,20.88,16.2,73.5,10.3,0.34,1.34,9,120,90,150,28.76669817,11.19258781
195,65.408,12.406,0.00356,1.60004,1711.3389,0.03084,0.247594283,195,32,5,0.25,0.55,0.65,1,0.68,0.58,24.08,14,1.4,10.4,68.8,20.8,5.8,47.5,1.8,0.3,15,16.32,10.4,68.8,20.8,14,0.58,5.8,2.5,0,5,51.22656073,17.27475918
196,60.897,13.802,0.00154,1.97187,849.792,0.10477,0.214711662,196,32,10,0.25,0.55,0.65,1,0.68,0.73,13.5,7.85,0.79,5.9,72.7,21.4,4.8,47.5,1.8,0.3,15,16.32,5.9,72.7,21.4,7.85,0.73,4.8,7.5,5,10,55.77375364,16.02676169
197,60.897,13.802,0.00154,1.97187,849.792,0.10477,0.208917562,197,32,20,0.25,0.55,0.65,1,0.68,0.73,13.5,7.85,0.79,5.9,72.7,21.4,4.8,47.5,3.6,0.6,30,16.32,5.9,72.7,21.4,7.85,0.73,4.8,15,10,20,55.77375364,16.02676169
198,52.448,13.001,0.00049,2.64148,303.1848,-0.10397,0.239360057,198,32,30,0.23,0.55,0.68,0.7,0.68,0.97,5.09,2.96,0.3,1,56.1,42.9,5.4,47,3.6,0.6,32,16.32,1,56.1,42.9,2.96,0.97,5.4,25,20,30,52.25013193,14.4891085
199,50.131,9.911,0.00079,2.18472,588.0724,0.54748,0.238000364,199,32,40,0.3,0.48,0.74,0.7,0.68,0.97,5.09,2.96,0.3,1,56.1,42.9,5.4,43.5,3.6,0.6,18,16.32,1,56.1,42.9,2.96,0.97,5.4,35,30,40,49.01988724,12.05550267
200,47.093,9.68,0.00063,2.29951,259.3346,0.47915,0.229638965,200,32,50,0.3,0.48,0.74,0.5,2.59,1.13,2.94,1.71,0.17,1,42.7,56.3,5.6,43.5,3.6,0.6,18,62.16,1,42.7,56.3,1.71,1.13,5.6,45,40,50,46.53388343,11.69391252
201,47.093,9.68,0.00063,2.29951,259.3346,0.47915,0.235548622,201,32,60,0.3,0.48,0.71,0.5,2.59,1.13,2.94,1.71,0.17,1,42.7,56.3,5.6,43.5,3.6,0.6,18,62.16,1,42.7,56.3,1.71,1.13,5.6,55,50,60,46.53388343,11.69391252
202,45.579,8.646,0.00077,2.13494,283.024,0.67982,0.239368854,202,32,70,0.3,0.45,0.71,0.5,2.59,1.17,2.24,1.3,0.13,1,42.7,56.3,5.6,41.25,2.8,0.5,15,62.16,1,42.7,56.3,1.3,1.17,5.6,65,60,70,44.56672107,10.93796046
203,45.371,8.885,0.00081,2.08409,205.395,0.6619,0.201685385,203,32,90,0.3,0.45,0.71,0.5,2.59,1.22,2.24,1.3,0.13,3.6,36.7,59.7,5.8,41.25,5.5,1,30,62.16,3.6,36.7,59.7,1.3,1.22,5.8,80,70,90,44.21334967,11.31222983
204,45.437,8.997,0.00083,2.05926,189.8949,0.65831,0.209841351,204,32,110,0.3,0.45,0.7,0.3,2.59,1.23,2.24,1.3,0.13,4.7,35,60.3,5.8,41.25,0.7,0.1,30,62.16,4.7,35,60.3,1.3,1.23,5.8,100,90,110,44.19941139,11.5104574
205,45.437,8.997,0.00083,2.05926,189.8949,0.65831,0.220725098,205,32,130,0.3,0.45,0.7,0.3,2.59,1.23,2.24,1.3,0.13,4.7,35,60.3,5.8,41.25,0.7,0.1,30,62.16,4.7,35,60.3,1.3,1.23,5.8,120,110,130,44.19941139,11.5104574
206,45.475,8.504,0.00093,1.98133,191.2396,0.76236,0.280405155,206,32,150,0.3,0.45,0.71,0.3,2.59,1.23,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.7,0.1,30,62.16,2.2,29,68.8,1.3,1.23,5.8,140,130,150,43.82939273,11.28050353
207,44.899,8.618,0.00088,2.0173,161.979,0.7095,0.286277767,207,32,170,0.3,0.45,0.73,0.3,2.59,1.27,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.7,0.1,30,62.16,2.2,29,68.8,1.3,1.27,5.8,160,150,170,43.4764519,11.23932342
208,44.899,8.618,0.00088,2.0173,161.979,0.7095,0.286277767,208,32,180,0.3,0.45,0.73,0.1,2.59,1.27,2.24,1.3,0.13,2.2,29,68.8,5.8,41.25,0.4,0.1,15,62.16,2.2,29,68.8,1.3,1.27,5.8,175,170,180,43.4764519,11.23932342
209,42.61,8.075,0.00824,1.3678,157.1936,-0.36909,0.208515421,209,33,5,0.176,0.311,0.495,1,0.54,1.41,1.72,1,0.1,27.8,60.3,11.9,5.4,27.725,1.8,0.3,7,12.96,27.8,60.3,11.9,1,1.41,5.4,2.5,0,5,30.56496522,13.94522187
210,45.4088987,4.05447773,0.028773599,1.185867386,256.9473773,-1.282071336,0.156735389,210,33,10,0.176,0.311,0.495,1,0.54,1.41,1.72,1,0.1,27.8,60.3,11.9,5.4,27.725,1.8,0.3,7,12.96,27.8,60.3,11.9,1,1.41,5.4,7.5,5,10,30.98677522,17.44182282
211,42.19,7.929,0.00881,1.35886,153.919,-0.4436,0.151520034,211,33,20,0.171,0.305,0.437,0.7,0.29,1.42,1.03,0.6,0.06,27.8,60.3,11.9,6.1,27.15,3.6,0.6,13,6.96,27.8,60.3,11.9,0.6,1.42,6.1,15,10,20,30.02472731,13.86485866
212,44.7619913,3.521510711,0.025789872,1.167028521,134.3564514,-0.277159879,0.143122913,212,33,30,0.187,0.32,0.429,0.7,0.18,1.21,1.03,0.6,0.06,27.8,60.3,11.9,6.5,28.675,3.6,0.6,13,4.32,27.8,60.3,11.9,0.6,1.21,6.5,25,20,30,32.03727101,18.76454041
213,52.22277814,5.709366994,0.014590194,1.147404114,51.59581505,-2.033243524,0.128467479,213,33,40,0.287,0.409,0.424,0.7,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,35,30,40,41.88826577,26.72367151
214,52.16,11.904,0.02054,1.18833,195.3382,-3.17008,0.132703702,214,33,50,0.287,0.409,0.424,0.5,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,45,40,50,39.54580437,25.58316001
215,51.60141282,4.653473358,0.014374061,1.133427082,50.95949256,-2.396768205,0.117720041,215,33,60,0.287,0.409,0.424,0.5,0,1.25,0.69,0.4,0.04,57.9,38.6,3.5,6.9,37.85,3.6,0.6,12,0,57.9,38.6,3.5,0.4,1.25,6.9,55,50,60,42.09251982,27.56879837
216,53.291,11.798,0.02376,1.18858,268.5613,-3.33886,0.177321429,216,33,70,0.276,0.398,0.427,0.5,0.01,1.2,0.17,0.1,0.01,57.9,38.6,3.5,7.1,36.75,2.8,0.5,12,0.24,57.9,38.6,3.5,0.1,1.2,7.1,65,60,70,39.56956308,25.49629827
217,53.291,11.798,0.02376,1.18858,268.5613,-3.33886,0.201122364,217,33,90,0.276,0.398,0.427,0.5,0.01,1.2,0.17,0.1,0.01,57.9,38.6,3.5,7.1,36.75,5.5,1,24,0.24,57.9,38.6,3.5,0.1,1.2,7.1,80,70,90,39.56956308,25.49629827
218,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.263797248,218,33,110,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,7.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,7.3,100,90,110,36.38061831,13.68697231
219,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.274696659,219,33,130,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,7.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,7.3,120,110,130,36.38061831,13.68697231
220,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.281503687,220,33,150,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,140,130,150,36.38061831,13.68697231
221,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.292383891,221,33,170,0.231,0.361,0.427,0.3,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,160,150,170,36.38061831,13.68697231
222,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.292383891,222,33,190,0.231,0.361,0.427,0.1,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,180,170,190,36.38061831,13.68697231
223,47.981,8.718,0.0047,1.48559,497.9985,0.29913,0.291819937,223,33,210,0.231,0.361,0.427,0.1,0.05,1.18,0.09,0.05,0.01,22.2,65.2,12.6,8.3,32.85,0.6,0.1,26,1.2,22.2,65.2,12.6,0.05,1.18,8.3,200,190,210,36.38061831,13.68697231
