OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
71,41.15215299,5.125644398,0.021394416,1.161751048,133.3449402,-2.623948644,0.139230387,71,8,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90,31.03067234,19.28803781
72,41.20345539,4.881010629,0.00870902,1.237585267,69.84381983,-0.445947677,0.191974867,72,8,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120,31.87508804,16.28954756
73,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.214662775,73,8,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150,31.25150933,12.82017589
74,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.278873795,74,8,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180,31.70293075,12.84125895
75,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.120801508,75,11,10,0.17,0.301,0.4,1,4,1.4,1.72,1,0.1,22,45,33,6.5,26.825,3.6,0.6,13,96,22,45,33,1,1.4,6.5,70,0,10,29.61599442,12.69699378
76,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.135791932,76,11,30,0.18,0.31,0.41,0.7,1.8,1.4,1.07,0.62,0.06,22,45,33,6.5,27.75,7.2,1.3,26,43.2,22,45,33,0.62,1.4,6.5,20,10,30,30.37208626,12.76404967
77,41.83423345,3.931794017,0.026523609,1.142877386,229.4088086,-2.741205696,0.125015498,77,11,60,0.19,0.31,0.42,0.5,1.6,1.4,0.84,0.49,0.05,22,45,33,6.5,28,10.7,1.9,36,38.4,22,45,33,0.49,1.4,6.5,45,30,60,31.45421035,20.04446065
78,41.15215299,5.125644398,0.021394416,1.161751048,133.3449402,-2.623948644,0.139230387,78,11,90,0.215,0.315,0.43,0.4,1.5,1.4,0.77,0.45,0.05,22,45,33,6.5,29,8.3,1.4,30,36,22,45,33,0.45,1.4,6.5,75,60,90,31.03067234,19.28803781
79,41.20345539,4.881010629,0.00870902,1.237585267,69.84381983,-0.445947677,0.191974867,79,11,120,0.25,0.317,0.44,0.3,1.4,1.4,0.74,0.43,0.04,22,45,33,6.5,30.025,1.1,0.2,20,33.6,22,45,33,0.43,1.4,6.5,105,90,120,31.87508804,16.28954756
80,41.687,7.553,0.00566,1.42064,136.9822,0.01175,0.214662775,80,11,150,0.27,0.32,0.44,0.3,1.3,1.4,0.65,0.38,0.04,22,45,33,6.5,30.75,1.1,0.2,15,31.2,22,45,33,0.38,1.4,6.5,135,120,150,31.25150933,12.82017589
81,41.811,7.667,0.00526,1.43183,132.9381,0.06202,0.278873795,81,11,180,0.29,0.325,0.44,0.1,1.2,1.4,0.36,0.21,0.02,22,45,33,6.5,31.625,1.1,0.2,11,28.8,22,45,33,0.21,1.4,6.5,165,150,180,31.70293075,12.84125895
